event_id,name,buyin_fee
9,All Run Gamblers (Friday),80.0
9,Jr. Dragsters Gamblers (Friday),30.0
9,Test N Tune (Friday),25.0
9,Super Pro,125.0
9,No-Box,75.0
9,Sportsman,35.0
9,Jr. Street,30.0
9,Jr. Dragsters,40.0
10,All Run Gamblers (Friday),80.0
10,Jr. Dragsters Gamblers (Friday),30.0
10,Test N Tune (Friday),25.0
10,Super Pro,125.0
10,No-Box,75.0
10,Sportsman,35.0
10,Jr. Street,30.0
10,Jr. Dragsters,40.0
11,Super Pro,125.0
11,No-Box,75.0
11,Sportsman,35.0
11,Jr. Street,30.0
11,Jr. Dragsters,40.0
12,Super Pro,125.0
12,No-Box,75.0
12,Sportsman,35.0
12,Jr. Street,30.0
12,Jr. Dragsters,40.0
