event_class_id,rule
162,1/8 mile- 9.40 & Slower
162,1/4 mile- 14.69 & Slower
163,1/8 mile- 8.50 - 9.39
163,1/4 mile- 13.31 - 14.68
164,1/8 mile- 7.65 - 8.49
164,1/4 mile- 12.02 - 13.30
165,7.24 & Faster (1/8 mile only)
166,7.25 & Slower (1/8 mile only)
167,8.00 & Faster (1/8 mile only)
168,7.64 - 7.00 (1/8 mile only)
169,6.99 & Faster (1/8 mile only)
170,All ETs (1/8 mile only)
170,"No Electronics, Transbrake OK"
170,Will begin at the conclusion of 3rd Round of Eliminations
170,Will only be run if Track allows and there are more than 15 cars
171,TBD
172,1/8 mile- 9.40 & Slower
172,1/4 mile- 14.69 & Slower
173,1/8 mile- 8.50 - 9.39
173,1/4 mile- 13.31 - 14.68
174,1/8 mile- 7.65 - 8.49
174,1/4 mile- 12.02 - 13.30
175,7.24 & Faster (1/8 mile only)
176,7.25 & Slower (1/8 mile only)
177,8.00 & Faster (1/8 mile only)
178,7.64 - 7.00 (1/8 mile only)
179,6.99 & Faster (1/8 mile only)
180,All ETs (1/8 mile only)
180,"No Electronics, Transbrake OK"
180,Will begin at the conclusion of 3rd Round of Eliminations
180,Will only be run if Track allows and there are more than 15 cars
181,TBD
182,1/8 mile- 9.40 & Slower
182,1/4 mile- 14.69 & Slower
183,1/8 mile- 8.50 - 9.39
183,1/4 mile- 13.31 - 14.68
184,1/8 mile- 7.65 - 8.49
184,1/4 mile- 12.02 - 13.30
185,7.24 & Faster (1/8 mile only)
186,7.25 & Slower (1/8 mile only)
187,8.00 & Faster (1/8 mile only)
188,7.64 - 7.00 (1/8 mile only)
189,6.99 & Faster (1/8 mile only)
190,All ETs (1/8 mile only)
190,"No Electronics, Transbrake OK"
190,Will begin at the conclusion of 3rd Round of Eliminations
190,Will only be run if Track allows and there are more than 15 cars
191,TBD
192,1/8 mile- 9.40 & Slower
192,1/4 mile- 14.69 & Slower
193,1/8 mile- 8.50 - 9.39
193,1/4 mile- 13.31 - 14.68
194,1/8 mile- 7.65 - 8.49
194,1/4 mile- 12.02 - 13.30
195,7.24 & Faster (1/8 mile only)
196,7.25 & Slower (1/8 mile only)
197,8.00 & Faster (1/8 mile only)
198,7.64 - 7.00 (1/8 mile only)
199,6.99 & Faster (1/8 mile only)
200,All ETs (1/8 mile only)
200,"No Electronics, Transbrake OK"
200,Will begin at the conclusion of 3rd Round of Eliminations
200,Will only be run if Track allows and there are more than 15 cars
201,TBD
202,1/8 mile- 9.40 & Slower
202,1/4 mile- 14.69 & Slower
203,1/8 mile- 8.50 - 9.39
203,1/4 mile- 13.31 - 14.68
204,1/8 mile- 7.65 - 8.49
204,1/4 mile- 12.02 - 13.30
205,7.24 & Faster (1/8 mile only)
206,7.25 & Slower (1/8 mile only)
207,8.00 & Faster (1/8 mile only)
208,7.64 - 7.00 (1/8 mile only)
209,6.99 & Faster (1/8 mile only)
210,All ETs (1/8 mile only)
210,"No Electronics, Transbrake OK"
210,Will begin at the conclusion of 3rd Round of Eliminations
210,Will only be run if Track allows and there are more than 15 cars
211,TBD
