event_id,name,buyin_fee
20,All Run Warmup (Friday),150.0
20,Super Pro,250.0
20,No-Box,250.0
20,Jr. Dragsters,80.0
23,All Run Warmup (Friday),150.0
23,Super Pro,250.0
23,No-Box,250.0
23,Jr. Dragsters,80.0
24,Super Pro,0.0
24,Pro ET,0.0
24,Sportsman,0.0
24,Motorcycle,0.0
24,Jr. Dragsters,0.0
25,Coach's Varsity N/T Small Tire Shootout,300.0
25,TBM Brakes Limited Drag Radial,250.0
25,Texas VS The World Ultra Street,250.0
25,Modern Muscle,150.0
25,Nitrous Express Cheap Street,120.0
25,The Great 128 Extreme Street,100.0
25,Junior Dragster,100.0
25,Power Wheels,0.0
