event_id,name,buyin_fee
26,Xtreme Bracket Gamblers (Friday),75
26,Jr. Gamblers (Friday),40
26,Super Pro (w/Green),100
26,Pro (w/Blue),60
26,Sportsman,30
26,Jr. Modified,50
26,Jr. Sportsman,40
26,Dent Eraser (Motorcycle),30
26,Daily Drivers,0
27,Xtreme Bracket Gamblers (Friday),75
27,Jr. Gamblers (Friday),40
27,Super Pro (w/Green),100
27,Pro (w/Blue),60
27,Sportsman,30
27,Jr. Modified,50
27,Jr. Sportsman,40
27,Dent Eraser (Motorcycle),30
27,Daily Drivers,0
28,Xtreme Bracket Gamblers (Friday),75
28,Jr. Gamblers (Friday),40
28,Super Pro (w/Green),100
28,Pro (w/Blue),60
28,Sportsman,30
28,Jr. Modified,50
28,Jr. Sportsman,40
28,Dent Eraser (Motorcycle),30
28,Daily Drivers,0
29,Xtreme Bracket Gamblers (Friday),75
29,Jr. Gamblers (Friday),40
29,Super Pro (w/Green),100
29,Pro (w/Blue),60
29,Sportsman,30
29,Jr. Modified,50
29,Jr. Sportsman,40
29,Dent Eraser (Motorcycle),30
29,Daily Drivers,0
30,Xtreme Bracket Gamblers (Friday),75
30,Jr. Gamblers (Friday),40
30,Super Pro (w/Green),100
30,Pro (w/Blue),60
30,Sportsman,30
30,Jr. Modified,50
30,Jr. Sportsman,40
30,Dent Eraser (Motorcycle),30
30,Daily Drivers,0
31,Xtreme Bracket Gamblers (Friday),75
31,Jr. Gamblers (Friday),40
31,Super Pro (w/Green),100
31,Pro (w/Blue),60
31,Sportsman,30
31,Jr. Modified,50
31,Jr. Sportsman,40
31,Dent Eraser (Motorcycle),30
31,Daily Drivers,0
32,Xtreme Bracket Gamblers (Friday),75
32,Jr. Gamblers (Friday),40
32,Super Pro (w/Green),100
32,Pro (w/Blue),60
32,Sportsman,30
32,Jr. Modified,50
32,Jr. Sportsman,40
32,Dent Eraser (Motorcycle),30
32,Daily Drivers,0
33,Super Pro (w/Green),100
33,Pro,60
33,Sportsman,30
33,Jr. Modified,50
33,Jr. Sportsman,40
